Sum_comp,LIPID,Ausdiab,Notes
LPC(14:0),LPC 14:0,"LPC(14:0) [sn2], LPC(14:0) [sn1]",
LPC(15:0),LPC 15:0,"LPC(15:0) [sn2], LPC(15:0) [sn1]",
LPC(16:0),LPC 16:0,"LPC(16:0) [sn2], LPC(16:0) [sn1]",
LPC(16:1),LPC 16:1,"LPC(16:1) [sn2], LPC(16:1) [sn1]",
LPC(17:0),LPC 17:0,"LPC(15-MHDA) [sn2], LPC(15-MHDA) [sn1] / LPC(17:0) [sn2], LPC(17:0) [sn1]",
LPC(17:1),LPC 17:1,"LPC(17:1) [sn2] (a), LPC(17:1) [sn1] (a) / LPC(17:1) [sn2] (b), LPC(17:1) [sn1] (b)",
LPC(18:0),LPC 18:0,"LPC(18:0) [sn2], LPC(18:0) [sn1]",
LPC(18:1),LPC 18:1,"LPC(18:1) [sn2], LPC(18:1) [sn1]",
LPC(18:2),LPC 18:2,"LPC(18:2) [sn2], LPC(18:2) [sn1]",
LPC(18:3),LPC 18:3,"LPC(18:3) [sn2] (a), LPC(18:3) [sn1] (a)/LPC(18:3) [sn2] (b), LPC(18:3) [sn1] (b)",
LPC(20:0),LPC 20:0,"LPC(20:0) [sn2], LPC(20:0) [sn1]",
LPC(20:1),LPC 20:1,"LPC(20:1) [sn2], LPC(20:1) [sn1]",
LPC(20:2),LPC 20:2,"LPC(20:2) [sn2], LPC(20:2) [sn1]",
LPC(20:3),LPC 20:3,"LPC(20:3) [sn2], LPC(20:3) [sn1]",
LPC(20:4),LPC 20:4,"LPC(20:4) [sn2], LPC(20:4) [sn1]",
LPC(20:5),LPC 20:5,"LPC(20:5) [sn2], LPC(20:5) [sn1]",
LPC(22:0),LPC 22:0,"LPC(22:0) [sn2], LPC(22:0) [sn1]",
LPC(22:1),LPC 22:1,"LPC(22:1) [sn2], LPC(22:1) [sn1]",
LPC(22:5),LPC 22:5,"LPC(22:5) [sn2] (n3), LPC(22:5) [sn1] (n3)/LPC(22:5) [sn2] (n6), LPC(22:5) [sn1] (n6)",
LPC(22:6),LPC 22:6,"LPC(22:6) [sn2], LPC(22:6) [sn1]",
LPC(24:0),LPC 24:0,"LPC(24:0) [sn2], LPC(24:0) [sn1]",
LPC(26:0),LPC 26:0,"LPC(26:0) [sn2], LPC(26:0) [sn1]",
LPE(16:0),PE(16:0/0:0),"LPE(16:0) [sn2], LPE(16:0) [sn1]",
LPE(18:0),PE(18:0/0:0),"LPE(18:0) [sn2], LPE(18:0) [sn1]",
LPE(18:1),PE(18:1/0:0),"LPE(18:1) [sn2], LPE(18:1) [sn1]",
LPE(18:2),PE(18:2/0:0),"LPE(18:2) [sn2], LPE(18:2) [sn1]",
LPE(20:4),PE(20:4/0:0),"LPE(20:4) [sn2], LPE(20:4) [sn1]",
LPE(22:6),PE(22:6/0:0),"LPE(22:6) [sn2], LPE(22:6) [sn1]",
LPI(18:0),PI (18:0/0:0),"LPI(18:0) [sn2], LPI(18:0) [sn1]",
LPI(18:1),PI (18:1/0:0),"LPI(18:1) [sn2], LPI(18:1) [sn1]",
LPI(18:2),PI (18:2/0:0),"LPI(18:2) [sn2], LPI(18:2) [sn1]",
LPI(20:4),PI (20:4/0:0),"LPI(20:4) [sn2], LPI(20:4) [sn1]",
PC(31:0),oddPC 31:0,"PC(31:0) (a), PC(31:0) (b)",
PC(33:0),oddPC 33:0,"PC(33:0) (a), PC(33:0) (b)",
PC(34:3),PC 34:3,"PC(16:1_18:2), PC(16:0_18:3) (a), PC(16:0_18:3) (b)",
PC(35:1),oddPC 35:1,"PC(15-MHDA_18:1), PC(17:0_18:1)",
PC(35:2),oddPC 35:2,"PC(15-MHDA_18:2), PC(17:0_18:2)",
PC(35:3),oddPC 35:3,"PC(17:1_18:2), PC(15:0_20:3)",
PC(36:2),PC 36:2,"PC(18:1_18:1), PC(18:0_18:2)",
PC(36:3),PC 36:3,"PC(18:1_18:2), PC(16:0_20:3) (a), PC(16:0_20:3) (b)",Might have 36:4 isotope ovelrap
PC(36:5),PC 36:5,"PC(16:1_20:4), PC(16:0_20:5)",
PC(36:6),PC 36:6,"PC(36:6) (a), PC(14:0_22:6)",
PC(37:4),oddPC 37:4,"PC(15-MHDA_20:4), PC(17:0_20:4)",
PC(38:4),PC 38:4,"PC(18:1_20:3), PC(38:4) (b), PC(18:0_20:4)",
PC(38:5),PC 38:5,"PC(38:5) (a), PC(38:5) (b)",
PC(38:7),PC 38:7,"PC(18:2_20:5), PC(16:1_22:6), PC(38:7) (c)",
PC(39:5),oddPC 39:5,"PC(39:5) (a), PC(39:5) (b)",
PC(39:6),oddPC 39:6,"PC(15-MHDA_22:6), PC(17:0_22:6)",
PC(40:4),PC 40:4,"PC(18:0_22:4), PC(20:0_20:4)",
PC(40:5),PC 40:5,"PC(18:0_22:5) (n3)/PC(20:1_20:4), PC(18:0_22:5) (n6)",
PC(40:7),PC 40:7,"PC(40:7) (a), PC(18:1_22:6) (a), PC(18:1_22:6) (b)",
PC(O-36:2),PC(O-36:2),"PC(O-18:1/18:1), PC(O-18:0/18:2)",
PC(O-36:3),PC(O-36:3),"PC(O-18:1/18:2), PC(O-16:0/20:3)",
PC(O-40:7),PC(O-40:7),"PC(O-40:7) (a), PC(O-40:7) (b)",
PC(P-36:2),PC(P-36:2),"PC(P-18:1/18:1), PC(P-18:0/18:2)",
PC(P-38:5),PC(P-38:5),"PC(P-38:5) (a), PC(P-38:5) (b)",
PE(34:3),PE 34:3,"PE(16:1_18:2), PE(16:0_18:3) (a), PE(16:0_18:3) (b)",
PE(35:1),PE 35:1,"PE(15-MHDA_18:1), PE(17:0_18:1)",
PE(35:2),PE 35:2,"PE(15-MHDA_18:2), PE(17:0_18:2)",
PE(36:2),PE 36:2,"PE(18:1_18:1), PE(18:0_18:2)",
PE(36:3),PE 36:3,"PE(18:1_18:2), PE(16:0_20:3)",
PE(36:5),PE 36:5,"PE(16:1_20:4), PE(16:0_20:5)",
PE(38:3),PE 38:3,"PE(18:0_20:3) (a), PE(18:0_20:3) (b)",
PE(38:5),PE 38:5,"PE(38:5) (a), PE(38:5) (b)",
PE(40:4),PE 40:4,"PE(18:0_22:4), PE(20:0_20:4)",
PE(40:5),PE 40:5,"PE(18:0_22:5) (n3), PE(18:0_22:5) (n6)",
PE(40:7),PE 40:7,"PE(18:1_22:6) (a), PE(18:1_22:6) (b)",
PE(O-36:3),PE(O-18:1/18:2),"PE(O-18:1/18:2), PE(O-16:0/20:3)",
PE(O-38:4),PE(O-18:1/20:3),"PE(O-16:0/22:4), PE(O-18:0/20:4)",
PE(O-38:5),PE(O-18:2/20:3),"PE(O-38:5) (a), PE(O-38:5) (b)",
PE(P-38:5),PE(P-16:0/22:5) FA,"PE(P-16:0/22:5) (n3), PE(P-16:0/22:5) (n6)",
PE(P-38:6),PE(P-16:0/22:6) FA,"PE(P-16:0/22:6), PE(P-18:1/20:5) (a), PE(P-18:1/20:5) (b)",
PE(P-40:5),PE(P-18:0/22:5) FA,"PE(P-18:0/22:5) (n3), PE(P-18:0/22:5) (n6)",
PI(36:3),PI 36:3,"PI(18:1_18:2), PI(16:0_20:3) (a), PI(16:0_20:3) (b)",Has 36:4 isotope overlap
PI(38:3),PI 38:3,"PI(18:0_20:3) (a), PI(18:0_20:3) (b)",Has 38:4 isotope overlap
PI(38:5),PI 38:5,"PI(38:5) (a), PI (38:5) (b)",
PI(40:4),PI 40:4,"PI(18:0_22:4), PI(20:0_20:4)",
PI(40:5),PI 40:5,"PI(18:0_22:5) (n3), PI(18:0_22:5) (n6)",
SM(35:1),SM 35:1,"SM(d16:1/19:0), SM(d18:1/17:0)/SM(d17:1/18:0)",
SM(35:2),SM 35:2,"SM(d18:2/17:0), SM(35:2) (b)",
SM(41:1),SM 41:1,"SM(41:1) (a), SM(d18:1/23:0)/SM(d17:1/24:0)",
SM(41:2),SM 41:2,"SM(d17:1/24:1), SM(d18:2/23:0)",